1112	233	1
233	1112	1
1112	246	1
246	1112	1
1112	97	1
97	1112	1
1112	270	1
270	1112	1
1112	515	1
515	1112	1
1112	500	1
500	1112	1
1112	2	1
2	1112	1
1112	649	1
649	1112	1
1112	7	1
7	1112	1
1112	41	1
41	1112	1
1112	260	1
260	1112	1
1112	8	1
8	1112	1
1112	334	1
334	1112	1
1112	2997	1
2997	1112	1
1112	77	1
77	1112	1
1112	23	1
23	1112	1
1112	1783	1
1783	1112	1
1112	3692	1
3692	1112	1
1112	1735	1
1735	1112	1
2175	43	1
43	2175	1
2175	825	1
825	2175	1
2175	1573	1
1573	2175	1
2175	119	1
119	2175	1
2175	2327	1
2327	2175	1
2175	3039	1
3039	2175	1
2175	108	1
108	2175	1
2175	514	1
514	2175	1
2175	38	1
38	2175	1
2175	399	1
399	2175	1
2175	865	1
865	2175	1
2175	99	1
99	2175	1
2175	243	1
243	2175	1
2175	237	1
237	2175	1
2175	1629	1
1629	2175	1
2175	1401	1
1401	2175	1
2175	2422	1
2422	2175	1
2175	4	1
4	2175	1
2175	347	1
347	2175	1
2175	2105	1
2105	2175	1
2175	166	1
166	2175	1
2175	82	1
82	2175	1
2175	1164	1
1164	2175	1
2175	1751	1
1751	2175	1
2175	24	1
24	2175	1
2175	733	1
733	2175	1
3364	3320	1
3320	3364	1
3364	2508	1
2508	3364	1
3364	68	1
68	3364	1
3364	386	1
386	3364	1
3364	65	1
65	3364	1
3364	2369	1
2369	3364	1
3364	197	1
197	3364	1
3364	118	1
118	3364	1
3364	165	1
165	3364	1
3364	950	1
950	3364	1
3364	79	1
79	3364	1
3364	54	1
54	3364	1
3364	871	1
871	3364	1
3364	1446	1
1446	3364	1
976	2820	1
2820	976	1
976	557	1
557	976	1
976	2277	1
2277	976	1
976	1071	1
1071	976	1
976	2194	1
2194	976	1
976	967	1
967	976	1
976	582	1
582	976	1
856	114	1
114	856	1
856	1757	1
1757	856	1
856	1503	1
1503	856	1
856	1294	1
1294	856	1
856	446	1
446	856	1
856	1428	1
1428	856	1
856	181	1
181	856	1
856	3134	1
3134	856	1
856	384	1
384	856	1
856	283	1
283	856	1
856	520	1
520	856	1
856	335	1
335	856	1
856	610	1
610	856	1
856	209	1
209	856	1
856	1008	1
1008	856	1
856	2685	1
2685	856	1
856	2955	1
2955	856	1
856	3621	1
3621	856	1
856	1743	1
1743	856	1
856	760	1
760	856	1
856	933	1
933	856	1
856	390	1
390	856	1
856	2785	1
2785	856	1
856	848	1
848	856	1
856	217	1
217	856	1
856	2828	1
2828	856	1
856	1275	1
1275	856	1
856	2767	1
2767	856	1
856	40	1
40	856	1
856	1313	1
1313	856	1
856	2743	1
2743	856	1
856	1186	1
1186	856	1
856	4	1
4	856	1
856	1557	1
1557	856	1
856	228	1
228	856	1
856	2325	1
2325	856	1
856	1055	1
1055	856	1
856	716	1
716	856	1
856	487	1
487	856	1
856	1979	1
1979	856	1
856	2944	1
2944	856	1
856	2492	1
2492	856	1
856	995	1
995	856	1
856	404	1
404	856	1
856	565	1
565	856	1
856	1951	1
1951	856	1
856	1516	1
1516	856	1
856	1500	1
1500	856	1
856	1462	1
1462	856	1
856	1847	1
1847	856	1
856	163	1
163	856	1
856	2749	1
2749	856	1
3306	1916	1
1916	3306	1
3306	1896	1
1896	3306	1
3306	30	1
30	3306	1
3306	465	1
465	3306	1
3306	699	1
699	3306	1
3306	17	1
17	3306	1
3306	684	1
684	3306	1
3306	1439	1
1439	3306	1
3306	5	1
5	3306	1
3306	1	1
1	3306	1
3306	27	1
27	3306	1
3306	1092	1
1092	3306	1
3306	19	1
19	3306	1
3306	1793	1
1793	3306	1
3306	3403	1
3403	3306	1
3306	3049	1
3049	3306	1
3306	2102	1
2102	3306	1
3306	447	1
447	3306	1
3306	22	1
22	3306	1
3306	62	1
62	3306	1
1278	1364	1
1364	1278	1
1278	1190	1
1190	1278	1
1278	742	1
742	1278	1
1278	693	1
693	1278	1
1278	751	1
751	1278	1
1278	2900	1
2900	1278	1
1278	179	1
179	1278	1
2948	740	1
740	2948	1
2948	6	1
6	2948	1
2948	1785	1
1785	2948	1
2948	838	1
838	2948	1
2948	21	1
21	2948	1
2948	50	1
50	2948	1
2948	472	1
472	2948	1
2948	435	1
435	2948	1
2948	125	1
125	2948	1
2948	15	1
15	2948	1
2948	753	1
753	2948	1
2948	3255	1
3255	2948	1
2948	1254	1
1254	2948	1
2948	187	1
187	2948	1
2948	1346	1
1346	2948	1
2948	1664	1
1664	2948	1
2948	98	1
98	2948	1
2948	260	1
260	2948	1
2948	1668	1
1668	2948	1
2948	303	1
303	2948	1
2948	483	1
483	2948	1
2948	736	1
736	2948	1
2948	1818	1
1818	2948	1
2948	2607	1
2607	2948	1
2948	1314	1
1314	2948	1
2948	249	1
249	2948	1
2948	1351	1
1351	2948	1
2948	1155	1
1155	2948	1
2948	195	1
195	2948	1
2948	44	1
44	2948	1
2948	3033	1
3033	2948	1
2948	595	1
595	2948	1
2948	1259	1
1259	2948	1
2948	276	1
276	2948	1
2948	1	1
1	2948	1
2948	13	1
13	2948	1
2948	1430	1
1430	2948	1
2948	1885	1
1885	2948	1
2948	570	1
570	2948	1
2948	10	1
10	2948	1
2948	887	1
887	2948	1
2948	3093	1
3093	2948	1
2948	535	1
535	2948	1
2948	55	1
55	2948	1
2948	1006	1
1006	2948	1
2948	201	1
201	2948	1
2948	11	1
11	2948	1
2337	66	1
66	2337	1
2337	133	1
133	2337	1
2337	226	1
226	2337	1
2337	1607	1
1607	2337	1
2337	30	1
30	2337	1
2337	318	1
318	2337	1
2337	1922	1
1922	2337	1
2337	2	1
2	2337	1
2337	2638	1
2638	2337	1
2337	7	1
7	2337	1
2337	138	1
138	2337	1
2337	413	1
413	2337	1
2337	26	1
26	2337	1
2337	850	1
850	2337	1
2337	81	1
81	2337	1
2337	2304	1
2304	2337	1
2337	74	1
74	2337	1
2337	1112	1
1112	2337	1
2337	323	1
323	2337	1
399	1070	1
1070	399	1
399	219	1
219	399	1
399	1949	1
1949	399	1
399	642	1
642	399	1
399	788	1
788	399	1
399	264	1
264	399	1
